Symbol,Date,Close
AAPL,6/29/2017,143.68
AAPL,6/30/2017,144.02
AAPL,7/3/2017,143.5
AAPL,7/5/2017,144.09
AAPL,7/6/2017,142.73
AAPL,7/7/2017,144.18
AAPL,7/10/2017,145.06
AAPL,7/11/2017,145.53
AAPL,7/12/2017,145.74
AAPL,7/13/2017,147.77
AAPL,7/14/2017,149.04
AAPL,7/17/2017,149.56
AAPL,7/18/2017,150.08
AAPL,7/19/2017,151.02
AAPL,7/20/2017,150.34
AAPL,7/21/2017,150.27
AAPL,7/24/2017,152.09
AAPL,7/25/2017,152.74
AAPL,7/26/2017,153.46
AAPL,7/27/2017,150.56
AAPL,7/28/2017,149.5
AAPL,7/31/2017,148.73
AAPL,8/1/2017,150.05
AAPL,8/2/2017,157.14
AAPL,8/3/2017,155.57
AAPL,8/4/2017,156.39
AAPL,8/7/2017,158.81
AAPL,8/8/2017,160.08
AAPL,8/9/2017,161.06
AAPL,8/10/2017,155.32
AAPL,8/11/2017,157.48
AAPL,8/14/2017,159.85
AAPL,8/15/2017,161.6
AAPL,8/16/2017,160.95
AAPL,8/17/2017,157.86
AAPL,8/18/2017,157.5
AAPL,8/21/2017,157.21
AAPL,8/22/2017,159.78
AAPL,8/23/2017,159.98
AAPL,8/24/2017,159.27
AAPL,8/25/2017,159.86
AAPL,8/28/2017,161.47
AAPL,8/29/2017,162.91
AAPL,8/30/2017,163.35
AAPL,8/31/2017,164
AAPL,9/1/2017,164.05
AAPL,9/5/2017,162.08
AAPL,9/6/2017,161.91
AAPL,9/7/2017,161.26
AAPL,9/8/2017,158.63
AAPL,9/11/2017,161.5
AAPL,9/12/2017,160.86
AAPL,9/13/2017,159.65
AAPL,9/14/2017,158.28
AAPL,9/15/2017,159.88
AAPL,9/18/2017,158.67
AAPL,9/19/2017,158.73
AAPL,9/20/2017,156.07
AAPL,9/21/2017,153.39
AAPL,9/22/2017,151.89
AAPL,9/25/2017,150.55
AAPL,9/26/2017,153.14
AAPL,9/27/2017,154.23
AAPL,9/28/2017,153.28
AAPL,9/29/2017,154.12
AAPL,10/2/2017,153.81
AAPL,10/3/2017,154.48
AAPL,10/4/2017,153.48
AAPL,10/5/2017,155.39
AAPL,10/6/2017,155.3
AAPL,10/9/2017,155.84
AAPL,10/10/2017,155.9
AAPL,10/11/2017,156.55
AAPL,10/12/2017,156
AAPL,10/13/2017,156.99
AAPL,10/16/2017,159.88
AAPL,10/17/2017,160.47
AAPL,10/18/2017,159.76
AAPL,10/19/2017,155.98
AAPL,10/20/2017,156.25
AAPL,10/23/2017,156.17
AAPL,10/24/2017,157.1
AAPL,10/25/2017,156.41
AAPL,10/26/2017,157.41
AAPL,10/27/2017,163.05
AAPL,10/30/2017,166.72
AAPL,10/31/2017,169.04
AAPL,11/1/2017,166.89
AAPL,11/2/2017,168.11
AAPL,11/3/2017,172.5
AAPL,11/6/2017,174.25
AAPL,11/7/2017,174.81
AAPL,11/8/2017,176.24
AAPL,11/9/2017,175.88
AAPL,11/10/2017,174.67
AAPL,11/13/2017,173.97
AAPL,11/14/2017,171.34
AAPL,11/15/2017,169.08
AAPL,11/16/2017,171.1
AAPL,11/17/2017,170.15
AAPL,11/20/2017,169.98
AAPL,11/21/2017,173.14
AAPL,11/22/2017,174.96
AAPL,11/24/2017,174.97
AAPL,11/27/2017,174.09
AAPL,11/28/2017,173.07
AAPL,11/29/2017,169.48
AAPL,11/30/2017,171.85
AAPL,12/1/2017,171.05
AAPL,12/4/2017,169.8
AAPL,12/5/2017,169.64
AAPL,12/6/2017,169.01
AAPL,12/7/2017,169.32
AAPL,12/8/2017,169.37
AAPL,12/11/2017,172.67
AAPL,12/12/2017,171.7
AAPL,12/13/2017,172.27
AAPL,12/14/2017,172.22
AAPL,12/15/2017,173.97
AAPL,12/18/2017,176.42
AAPL,12/19/2017,174.54
AAPL,12/20/2017,174.35
AAPL,12/21/2017,175.01
AAPL,12/22/2017,175.01
AAPL,12/26/2017,170.57
AAPL,12/27/2017,170.6
AAPL,12/28/2017,171.08
AAPL,12/29/2017,169.23
AAPL,1/2/2018,172.26
AAPL,1/3/2018,172.23
AAPL,1/4/2018,173.03
AAPL,1/5/2018,175
AAPL,1/8/2018,174.35
AAPL,1/9/2018,174.33
AAPL,1/10/2018,174.29
AAPL,1/11/2018,175.28
AAPL,1/12/2018,177.09
AAPL,1/16/2018,176.19
AAPL,1/17/2018,179.1
AAPL,1/18/2018,179.26
AAPL,1/19/2018,178.46
AAPL,1/22/2018,177
AAPL,1/23/2018,177.04
AAPL,1/24/2018,174.22
